call_id,lead_id,call_date,duration_minutes,transcript,primary_objection,sentiment,risk_level,next_step_summary
CALL-4812,4812,2026-01-20 08:56:08.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Charles: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Charles: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We don't have budget for this right now.,positive,medium,Customer asked for a proposal and pricing breakdown.
CALL-3774,3774,2026-01-16 19:15:01.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Joshua: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Joshua: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,medium,Customer asked for a proposal and pricing breakdown.
CALL-3500,3500,2025-11-23 15:45:36.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Beth: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Beth: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",Security and compliance are a major concern for us.,neutral,medium,Sent product overview and case studies.
CALL-2231,2231,2025-02-24 18:04:46.745207,29,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Devin: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Devin: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We don't have budget for this right now.,negative,low,Prospect decided to postpone project to next year.
CALL-2817,2817,2025-10-04 08:19:49.745207,24,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jasmine: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jasmine: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We're already using another project management tool.,neutral,high,Sent product overview and case studies.
CALL-424,424,2025-11-17 06:56:39.745207,27,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Matthew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Matthew: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",Security and compliance are a major concern for us.,neutral,low,Sent product overview and case studies.
CALL-4039,4039,2025-09-04 15:47:15.745207,21,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Robert: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Robert: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",We need to see stronger ROI before moving forward.,neutral,high,Prospect will evaluate internally and get back.
CALL-3730,3730,2025-11-24 00:41:44.745207,42,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Danielle: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Danielle: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",Security and compliance are a major concern for us.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-1768,1768,2026-02-02 08:50:52.745207,34,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Sarah: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Sarah: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,medium,Verbal commitment to pilot in one department.
CALL-687,687,2025-07-12 20:18:24.745207,37,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Steven: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Steven: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-727,727,2025-03-03 20:32:33.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Ethan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Ethan: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",We're already using another project management tool.,positive,medium,Booked follow-up demo with the technical team.
CALL-3218,3218,2025-03-05 15:21:28.745207,20,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Tina: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Tina: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",Security and compliance are a major concern for us.,negative,high,Prospect decided to postpone project to next year.
CALL-289,289,2025-03-16 17:17:03.745207,31,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Joshua: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Joshua: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We need to see stronger ROI before moving forward.,negative,medium,Prospect chose a competitor due to existing relationship.
CALL-3553,3553,2025-05-05 13:08:15.745207,39,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Mary: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Mary: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We don't have budget for this right now.,negative,medium,Prospect chose a competitor due to existing relationship.
CALL-1082,1082,2025-08-12 09:28:27.745207,39,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kristin: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kristin: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We don't have budget for this right now.,positive,medium,Verbal commitment to pilot in one department.
CALL-4310,4310,2025-05-03 22:33:34.745207,37,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Savannah: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Savannah: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We don't have budget for this right now.,negative,low,Prospect chose a competitor due to existing relationship.
CALL-411,411,2025-10-01 18:11:53.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Robert: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Robert: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We need to see stronger ROI before moving forward.,neutral,high,Sent product overview and case studies.
CALL-919,919,2025-08-21 08:11:02.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Matthew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Matthew: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Implementation time is a big risk for our team.,positive,low,Booked follow-up demo with the technical team.
CALL-1676,1676,2025-12-14 13:51:53.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jacob: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jacob: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,medium,Verbal commitment to pilot in one department.
CALL-1581,1581,2025-10-22 10:56:00.745207,30,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kelly: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kelly: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We're already using another project management tool.,neutral,low,Added prospect to nurture sequence.
CALL-2643,2643,2025-10-25 12:49:32.745207,24,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Rebecca: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Rebecca: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We need to see stronger ROI before moving forward.,neutral,low,Sent product overview and case studies.
CALL-280,280,2026-01-15 10:43:01.745207,43,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Matthew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Matthew: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",We don't have budget for this right now.,neutral,medium,Prospect will evaluate internally and get back.
CALL-908,908,2025-07-02 03:46:00.745207,23,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Ruben: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Ruben: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We don't have budget for this right now.,positive,medium,Verbal commitment to pilot in one department.
CALL-3875,3875,2025-10-03 12:53:12.745207,34,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Ryan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Ryan: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",Security and compliance are a major concern for us.,neutral,low,Sent product overview and case studies.
CALL-2531,2531,2025-07-05 17:08:42.745207,21,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Lauren: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Lauren: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Security and compliance are a major concern for us.,positive,medium,Booked follow-up demo with the technical team.
CALL-4770,4770,2025-04-22 23:27:39.745207,42,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Richard: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Richard: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Implementation time is a big risk for our team.,positive,medium,Booked follow-up demo with the technical team.
CALL-3594,3594,2025-05-07 20:23:57.745207,31,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Sarah: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Sarah: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,low,Verbal commitment to pilot in one department.
CALL-3316,3316,2026-02-28 01:24:10.745207,45,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Vanessa: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Vanessa: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",Security and compliance are a major concern for us.,neutral,low,Added prospect to nurture sequence.
CALL-3757,3757,2026-01-03 12:22:04.745207,43,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Michele: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Michele: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",Security and compliance are a major concern for us.,negative,low,Prospect decided to postpone project to next year.
CALL-4076,4076,2026-01-14 14:54:45.745207,23,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Michael: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Michael: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We need to see stronger ROI before moving forward.,neutral,high,Sent product overview and case studies.
CALL-4490,4490,2025-04-15 03:13:14.745207,28,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
James: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
James: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",Security and compliance are a major concern for us.,positive,medium,Customer asked for a proposal and pricing breakdown.
CALL-3439,3439,2025-04-01 05:05:39.745207,42,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Lawrence: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Lawrence: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We don't have budget for this right now.,positive,high,Verbal commitment to pilot in one department.
CALL-2513,2513,2025-06-19 04:04:33.745207,29,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Scott: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Scott: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We're already using another project management tool.,neutral,low,Added prospect to nurture sequence.
CALL-3422,3422,2025-04-04 10:50:34.745207,45,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Cynthia: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Cynthia: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,high,Verbal commitment to pilot in one department.
CALL-4132,4132,2026-02-23 07:34:49.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Amanda: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Amanda: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,high,Verbal commitment to pilot in one department.
CALL-2377,2377,2025-10-20 12:38:56.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Andrew: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Andrew: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We're already using another project management tool.,negative,high,Prospect decided to postpone project to next year.
CALL-3041,3041,2025-11-02 02:26:01.745207,41,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
David: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
David: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,low,Verbal commitment to pilot in one department.
CALL-2026,2026,2025-04-12 05:22:03.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kelsey: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kelsey: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We need to see stronger ROI before moving forward.,negative,medium,Prospect decided to postpone project to next year.
CALL-2649,2649,2025-03-07 09:29:29.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jordan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jordan: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,medium,Verbal commitment to pilot in one department.
CALL-1390,1390,2025-06-26 18:22:02.745207,37,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Timothy: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Timothy: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",Security and compliance are a major concern for us.,neutral,medium,Added prospect to nurture sequence.
CALL-4262,4262,2025-07-10 11:52:20.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Nicholas: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Nicholas: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",Implementation time is a big risk for our team.,negative,medium,Prospect chose a competitor due to existing relationship.
CALL-3328,3328,2025-08-05 01:59:56.745207,31,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Erica: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Erica: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We're already using another project management tool.,neutral,medium,Added prospect to nurture sequence.
CALL-3050,3050,2026-01-05 15:02:31.745207,27,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
John: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
John: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",Implementation time is a big risk for our team.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-2189,2189,2025-04-25 04:58:09.745207,24,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Vanessa: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Vanessa: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We're already using another project management tool.,negative,low,Prospect decided to postpone project to next year.
CALL-4006,4006,2025-03-31 18:22:04.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kristen: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kristen: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",Implementation time is a big risk for our team.,negative,high,Prospect chose a competitor due to existing relationship.
CALL-1132,1132,2025-04-23 12:42:26.745207,44,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Amanda: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Amanda: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",Implementation time is a big risk for our team.,negative,medium,Prospect chose a competitor due to existing relationship.
CALL-848,848,2025-06-24 22:02:31.745207,39,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Danny: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Danny: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We're already using another project management tool.,negative,low,Prospect chose a competitor due to existing relationship.
CALL-4485,4485,2026-01-21 17:16:49.745207,45,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Kenneth: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Kenneth: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-811,811,2025-06-09 14:58:54.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jared: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jared: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We need to see stronger ROI before moving forward.,neutral,low,Added prospect to nurture sequence.
CALL-1972,1972,2025-05-28 06:52:13.745207,35,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Daniel: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Daniel: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",Security and compliance are a major concern for us.,neutral,medium,Prospect will evaluate internally and get back.
CALL-3359,3359,2025-05-06 11:59:55.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
James: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
James: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We don't have budget for this right now.,negative,medium,Prospect chose a competitor due to existing relationship.
CALL-1636,1636,2026-01-06 22:18:38.745207,36,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Samuel: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Samuel: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",We don't have budget for this right now.,positive,low,Booked follow-up demo with the technical team.
CALL-563,563,2025-05-07 10:55:43.745207,39,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
David: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
David: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-2261,2261,2025-08-13 15:02:43.745207,31,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Christopher: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Christopher: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We're already using another project management tool.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-3943,3943,2025-11-15 22:14:44.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Anthony: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Anthony: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,medium,Verbal commitment to pilot in one department.
CALL-3547,3547,2025-08-07 18:51:51.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Lisa: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Lisa: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",Security and compliance are a major concern for us.,positive,high,Verbal commitment to pilot in one department.
CALL-4403,4403,2025-08-15 20:04:30.745207,36,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Stephanie: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Stephanie: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",Implementation time is a big risk for our team.,neutral,low,Added prospect to nurture sequence.
CALL-3579,3579,2025-04-03 17:34:52.745207,44,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Geoffrey: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Geoffrey: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Implementation time is a big risk for our team.,positive,high,Booked follow-up demo with the technical team.
CALL-2768,2768,2025-09-04 16:19:11.745207,33,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Katie: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Katie: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",We're already using another project management tool.,positive,medium,Booked follow-up demo with the technical team.
CALL-496,496,2025-06-20 00:45:05.745207,36,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Anthony: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Anthony: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",Implementation time is a big risk for our team.,neutral,medium,Prospect will evaluate internally and get back.
CALL-941,941,2025-05-23 21:26:42.745207,20,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Brian: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Brian: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We don't have budget for this right now.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-3377,3377,2026-02-12 11:51:29.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jennifer: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jennifer: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We need to see stronger ROI before moving forward.,neutral,low,Sent product overview and case studies.
